from,to
dim_68,dim_87
dim_74,dim_94
dim_29,dim_60
dim_18,dim_70
dim_61,dim_92
dim_80,dim_89
dim_16,dim_55
dim_25,dim_73
dim_22,dim_27
dim_24,dim_99
dim_1,dim_22
dim_15,dim_43
dim_61,dim_90
dim_22,dim_45
dim_55,dim_40
dim_13,dim_31
dim_76,dim_85
dim_27,dim_10
dim_54,dim_59
dim_11,dim_49
dim_24,dim_53
dim_8,dim_81
dim_28,dim_38
dim_58,dim_69
dim_85,dim_21
dim_37,dim_62
dim_27,dim_95
dim_13,dim_54
dim_59,dim_30
dim_3,dim_42
dim_5,dim_78
dim_1,dim_2
dim_11,dim_41
dim_8,dim_9
dim_59,dim_3
dim_78,dim_97
dim_3,dim_46
dim_20,dim_86
dim_100,dim_73
dim_15,dim_84
dim_55,dim_7
dim_42,dim_18
dim_13,dim_14
dim_29,dim_72
dim_3,dim_23
dim_31,dim_35
dim_42,dim_36
dim_50,dim_98
dim_12,dim_13
dim_38,dim_1
dim_65,dim_67
dim_95,dim_5
dim_42,dim_88
dim_56,dim_71
dim_97,dim_57
dim_100,dim_57
dim_84,dim_100
dim_87,dim_17
dim_2,dim_89
dim_71,dim_19
dim_97,dim_45
dim_25,dim_64
dim_19,dim_80
dim_2,dim_29
dim_61,dim_79
dim_34,dim_93
dim_4,dim_68
dim_14,dim_65
dim_35,dim_94
dim_21,dim_20
dim_20,dim_11
dim_90,dim_31
dim_38,dim_96
dim_96,dim_6
dim_26,dim_6
dim_2,dim_83
dim_2,dim_4
dim_48,dim_74
dim_6,dim_32
dim_10,dim_58
dim_58,dim_8
dim_28,dim_2
dim_18,dim_56
dim_10,dim_16
dim_80,dim_28
dim_29,dim_14
dim_42,dim_24
